Player,Salary,Season
Kelly Olynyk,12667885,2019-20
Marcus Smart,12553571,2019-20
Terrence Ross,12500000,2019-20
Patrick Beverley,12345680,2019-20
Trevor Ariza,12200000,2019-20
Brook Lopez,12093024,2019-20
Jusuf Nurkic,12000000,2019-20
Cory Joseph,12000000,2019-20
Joe Ingles,11454546,2019-20
Tony Snell,11392857,2019-20
Robert Covington,11301219,2019-20
Meyers Leonard,11286515,2019-20
TJ Warren,11060000,2019-20
Moe Harkless,11011234,2019-20
Andre Roberson,10740740,2019-20
Spencer Dinwiddie,10605600,2019-20
Jeremy Lamb,10500000,2019-20
Dwight Powell,10259375,2019-20
George Hill,10133907,2019-20
Josh Richardson,10116576,2019-20
Norman Powell,10116576,2019-20
Tyus Jones,10116000,2019-20
Tomas Satoransky,10000000,2019-20
DeAndre Jordan,9881598,2019-20
Zion Williamson,9757440,2019-20
Markelle Fultz,9745200,2019-20
John Henson,9732396,2019-20
Matthew Dellavedova,9607500,2019-20
Dante Exum,9600000,2019-20
Deandre Ayton,9562920,2019-20
Delon Wright,9473684,2019-20
Jerami Grant,9346153,2019-20
Fred VanVleet,9346153,2019-20
Al-Farouq Aminu,9258000,2019-20
Kyle Anderson,9073050,2019-20
Taj Gibson,9000000,2019-20
Ja Morant,8730240,2019-20
Lonzo Ball,8719320,2019-20
E'Twaun Moore,8664928,2019-20
Marvin Bagley,8556120,2019-20
Bogdan Bogdanovic,8529386,2019-20
PJ Tucker,8349039,2019-20
Cristiano Felicio,8156500,2019-20
Kentavious Caldwell-Pope,8139282,2019-20
Ben Simmons,8113929,2019-20
Maxi Kleber,8000000,2019-20
Louis Williams,8000000,2019-20
Elfrid Payton,8000000,2019-20
Wayne Ellington,8000000,2019-20
Thomas Bryant,8000000,2019-20
RJ Barrett,7839960,2019-20
Jayson Tatum,7830000,2019-20
Jae Crowder,7815533,2019-20
Luka Doncic,7683360,2019-20
Joe Harris,7666667,2019-20
Seth Curry,7461380,2019-20
DeMarre Carroll,7339258,2019-20
Langston Galloway,7333333,2019-20
Doug McDermott,7333333,2019-20
Derrick Rose,7317074,2019-20
Brandon Ingram,7265485,2019-20
Darius Miller,7250000,2019-20
DJ Augustin,7250000,2019-20
De'Andre Hunter,7068360,2019-20
Josh Jackson,7059480,2019-20
Ersan Ilyasova,7000000,2019-20
Davis Bertans,7000000,2019-20
Jaren Jackson Jr,6927480,2019-20
Nemanja Bjelica,6825000,2019-20
Jaylen Brown,6534829,2019-20
Jabari Parker,6500000,2019-20
Ivica Zubac,6481482,2019-20
Darius Garland,6400920,2019-20
De'Aaron Fox,6392760,2019-20
Trae Young,6273000,2019-20
Montrezl Harrell,6000000,2019-20
Ishmael Smith,6000000,2019-20
Marco Belinelli,5846154,2019-20
Jarrett Culver,5813640,2019-20
Jonathan Isaac,5806440,2019-20
Rodney Hood,5718000,2019-20
Mo Bamba,5697600,2019-20
Trey Lyles,5500000,2019-20
Aron Baynes,5453280,2019-20
Kris Dunn,5348007,2019-20
Coby White,5307120,2019-20
Lauri Markkanen,5300400,2019-20
Wendell Carter,5201400,2019-20
Daniel Theis,5000000,2019-20
Luol Deng,5000000,2019-20
Jaxson Hayes,4862040,2019-20
Buddy Hield,4861207,2019-20
Frank Ntilikina,4855800,2019-20
Rodney McGruder,4807693,2019-20
Enes Kanter,4767000,2019-20
Garrett Temple,4767000,2019-20
Justin Holiday,4767000,2019-20
JaMychal Green,4767000,2019-20
Avery Bradley,4767000,2019-20
Robin Lopez,4767000,2019-20
Mike Scott,4767000,2019-20
Frank Kaminsky,4767000,2019-20
Richaun Holmes,4767000,2019-20
Ed Davis,4767000,2019-20
Collin Sexton,4764960,2019-20
Rui Hachimura,4469160,2019-20
Kevon Looney,4464286,2019-20
Dennis Smith,4463640,2019-20
Jamal Murray,4444746,2019-20
Kevin Knox,4380120,2019-20
Cam Reddish,4245720,2019-20
Zach Collins,4240200,2019-20
Mikal Bridges,4161000,2019-20
Alex Len,4160000,2019-20
Nicolo Melli,4102564,2019-20
Cameron Johnson,4033440,2019-20
Malik Monk,4028400,2019-20
Dorian Finney-Smith,4000000,2019-20
JaVale McGee,4000000,2019-20
Reggie Bullock,4000000,2019-20
Patrick McCaw,4000000,2019-20
Shai Gilgeous-Alexander,3952920,2019-20
PJ Washington,3831840,2019-20
Luke Kennard,3827160,2019-20
Miles Bridges,3755400,2019-20
Jakob Poeltl,3754885,2019-20
Tyler Herro,3640200,2019-20
Donovan Mitchell,3635760,2019-20
Stanley Johnson,3623000,2019-20
Jake Layman,3581986,2019-20
Thon Maker,3569643,2019-20
Jerome Robinson,3567720,2019-20
Danuel House,3540000,2019-20
Domantas Sabonis,3529554,2019-20
Boban Marjanovic,3500000,2019-20
TJ McConnell,3500000,2019-20
DeMarcus Cousins,3500000,2019-20
Taurean Prince,3481985,2019-20
Dario Saric,3481985,2019-20
Romeo Langford,3458400,2019-20
Bam Adebayo,3454080,2019-20
Michael Porter,3389400,2019-20
Denzel Valentine,3377568,2019-20
Juan Hernangomez,3321029,2019-20
Sekou Doumbouya,3285120,2019-20
Justin Jackson,3280920,2019-20
Troy Brown,3219480,2019-20
Yogi Ferrell,3150000,2019-20
Zhaire Smith,3058800,2019-20
Ryan Arcidiacono,3000000,2019-20
Quinn Cook,3000000,2019-20
Khem Birch,3000000,2019-20
Nickeil Alexander-Walker,2964840,2019-20
DJ Wilson,2961120,2019-20
Cedi Osman,2907143,2019-20
Donte DiVincenzo,2905800,2019-20
Bryn Forbes,2875000,2019-20
Goga Bitadze,2816760,2019-20
TJ Leaf,2813280,2019-20
Lonnie Walker,2764200,2019-20
Alex Caruso,2750000,2019-20
Malik Beasley,2731713,2019-20
Luka Samanic,2689920,2019-20
John Collins,2686560,2019-20
Kevin Huerter,2636280,2019-20
Caris LeVert,2625717,2019-20
Marko Guduric,2625000,2019-20
DeAndre Bembry,2603981,2019-20
Matisse Thybulle,2582160,2019-20
Harry Giles,2578800,2019-20
Vince Carter,2564753,2019-20
Wilson Chandler,2564753,2019-20
Jose Juan Barea,2564753,2019-20
Thabo Sefolosha,2564753,2019-20
Tyson Chandler,2564753,2019-20
Dwight Howard,2564753,2019-20
Rajon Rondo,2564753,2019-20
Jared Dudley,2564753,2019-20
Udonis Haslem,2564753,2019-20
Kyle Korver,2564753,2019-20
Wesley Matthews,2564753,2019-20
Josh Okogie,2530680,2019-20
Vincent Poirier,2505793,2019-20
Rondae Hollis-Jefferson,2500000,2019-20
Brandon Clarke,2478840,2019-20
Terrance Ferguson,2475840,2019-20
Grayson Allen,2429400,2019-20
Alfonzo McKinnie,2391985,2019-20
Grant Williams,2379840,2019-20
Jarrett Allen,2376840,2019-20
Pascal Siakam,2351838,2019-20
Skal Labissiere,2338846,2019-20
Chandler Hutchison,2332320,2019-20
Patrick Patterson,2331593,2019-20
Dejounte Murray,2321735,2019-20
Alec Burks,2320044,2019-20
Damian Jones,2305057,2019-20
Darius Bazley,2284800,2019-20
Ante Zizic,2281800,2019-20
OG Anunoby,2281800,2019-20
Markieff Morris,2259887,2019-20
Luke Kornet,2250000,2019-20
Aaron Holiday,2239200,2019-20
Ty Jerome,2193480,2019-20
Willie Cauley-Stein,2177483,2019-20
Kyle O'Quinn,2174318,2019-20
Austin Rivers,2174310,2019-20
Carmelo Anthony,2159029,2019-20
Anfernee Simons,2149560,2019-20
Nassir Little,2105520,2019-20
Moritz Wagner,2063520,2019-20
Dylan Windler,2035800,2019-20
Caleb Swanigan,2033160,2019-20
Ben McLemore,2028594,2019-20
Mike Muscala,2028594,2019-20
Michael Carter-Williams,2028594,2019-20
Noah Vonleh,2000000,2019-20
Torrey Craig,2000000,2019-20
Edmond Sumner,2000000,2019-20
Landry Shamet,1995120,2019-20
Mfiondu Kabengele,1977000,2019-20
Kyle Kuzma,1974600,2019-20
Jordan Poole,1964760,2019-20
Tony Bradley,1962360,2019-20
Keldon Johnson,1950600,2019-20
Derrick White,1948080,2019-20
Robert Williams,1937520,2019-20
Josh Hart,1934160,2019-20
Jacob Evans,1925880,2019-20
Dzanan Musa,1911600,2019-20
Omari Spellman,1897800,2019-20
Nerlens Noel,1882867,2019-20
James Ennis,1882867,2019-20
Glenn Robinson III,1882867,2019-20
Bruno Caboclo,1845301,2019-20
Shabazz Napier,1845301,2019-20
JR Smith,1746470,2019-20
JaKarr Sampson,1737145,2019-20
Raul Neto,1737145,2019-20
Mario Hezonja,1737145,2019-20
Emmanuel Mudiay,1737145,2019-20
Pat Connaughton,1723050,2019-20
Jahlil Okafor,1702486,2019-20
Rodions Kurucs,1699236,2019-20
Cheick Diallo,1678854,2019-20
Willy Hernangomez,1676735,2019-20
Treveon Graham,1645357,2019-20
Christian Wood,1645357,2019-20
Derrick Jones,1645357,2019-20
Georges Niang,1645357,2019-20
Shaquille Harrison,1620564,2019-20
Furkan Korkmaz,1620564,2019-20
Semi Ojeleye,1618520,2019-20
Dwayne Bacon,1618520,2019-20
Dillon Brooks,1618520,2019-20
Sterling Brown,1618520,2019-20
Frank Jackson,1618520,2019-20
Damyean Dotson,1618520,2019-20
Abdel Nader,1618520,2019-20
Wesley Iwundu,1618520,2019-20
Royce O'Neale,1618520,2019-20
Monte Morris,1588231,2019-20
Malcolm Miller,1588231,2019-20
Chris Boucher,1588231,2019-20
Mitchell Robinson,1559712,2019-20
Isaiah Roby,1500000,2019-20
Nigel Williams-Goss,1500000,2019-20
Brad Wanamaker,1445697,2019-20
Thanasis Antetokounmpo,1445697,2019-20
Theo Pinson,1445697,2019-20
Shake Milton,1445697,2019-20
Wenyen Gabriel,1445697,2019-20
Devonte Graham,1416852,2019-20
Jalen Brunson,1416852,2019-20
Keita Bates-Diop,1416852,2019-20
Sviatoslav Mykhailiuk,1416852,2019-20
Khyri Thomas,1416852,2019-20
Bruce Brown,1416852,2019-20
Alize Johnson,1416852,2019-20
De'Anthony Melton,1416852,2019-20
Kendrick Nunn,1416852,2019-20
Duncan Robinson,1416852,2019-20
Jarred Vanderbilt,1416852,2019-20
Kenrich Williams,1416852,2019-20
Hamidou Diallo,1416852,2019-20
Deonte Burton,1416852,2019-20
Melvin Frazier,1416852,2019-20
Ryan Broekhoff,1416852,2019-20
Jevon Carter,1416852,2019-20
Elie Okobo,1416852,2019-20
Gary Trent Jr,1416852,2019-20
Chimezie Metu,1416852,2019-20
Isaac Bonga,1416852,2019-20
Bruno Fernando,1400000,2019-20
Jaylen Nowell,1400000,2019-20
Kevin Porter,1290960,2019-20
Jordan McRae,1254933,2019-20
Carsen Edwards,1228026,2019-20
Cody Martin,1173310,2019-20
Gary Payton II,1052909,2019-20
Terance Mann,1000000,2019-20
Admiral Schofield,1000000,2019-20
David Nwaba,903111,2019-20
Javonte Green,898310,2019-20
Nicolas Claxton,898310,2019-20
Jalen McDaniels,898310,2019-20
Caleb Martin,898310,2019-20
Daniel Gafford,898310,2019-20
Vlatko Cancar,898310,2019-20
Alen Smailagic,898310,2019-20
Eric Paschall,898310,2019-20
Talen Horton-Tucker,898310,2019-20
KZ Okpala,898310,2019-20
Naz Reid,898310,2019-20
Ignas Brazdeikis,898310,2019-20
Jalen Lecque,898310,2019-20
DaQuan Jeffries,898310,2019-20
Justin James,898310,2019-20
Matt Thomas,898310,2019-20
Terence Davis,898310,2019-20
Dewan Hernandez,898310,2019-20
Miye Oni,898310,2019-20
Damion Lee,842327,2019-20
Jeff Green,840427,2019-20
Timothe Luwawu,837583,2019-20
Juwan Morgan,746054,2019-20
Gary Clark,718765,2019-20
Marvin Williams,604278,2019-20
Michael Kidd-Gilchrist,595122,2019-20
Rayjon Tucker,578573,2019-20
Chris Clemons,563346,2019-20
Brandon Goodwin,522738,2019-20
Reggie Jackson,512721,2019-20
Justin Patton,483115,2019-20
Anzejs Pasecniks,482144,2019-20
Chris Silva,466918,2019-20
Troy Daniels,458439,2019-20
Anthony Tolliver,434704,2019-20
Joakim Noah,381360,2019-20
Dion Waiters,375385,2019-20
Dean Wade,375000,2019-20
Juan Toscano-Anderson,350189,2019-20
Ky Bowman,350189,2019-20
Norvel Pelle,350189,2019-20
Jamal Crawford,289803,2019-20
Jordan Bell,250000,2019-20
Tyler Zeller,245686,2019-20
Trey Burke,229220,2019-20
Jontay Porter,197933,2019-20
Cameron Payne,196288,2019-20
Jerian Grant,196288,2019-20
Dragan Bender,189700,2019-20
Mychal Mulder,187782,2019-20
Tyler Johnson,183115,2019-20
PJ Dozier,183115,2019-20
Sindarius Thornwell,183115,2019-20
Corey Brewer,183115,2019-20
Joe Chealey,163356,2019-20
Jaylen Adams,163356,2019-20
Johnathan Williams,161245,2019-20
Luguentz Dort,155647,2019-20
Oshae Brissett,129568,2019-20
JP Macura,106181,2019-20
Donta Hall,101504,2019-20
Sheldon Mac,91557,2019-20
Chasson Randle,91557,2019-20
Jonah Bolden,89846,2019-20
Derrick Walton,81678,2019-20
Charlie Brown,79568,2019-20
Tacko Fall,79568,2019-20
Tremont Waters,79568,2019-20
Jeremiah Martin,79568,2019-20
Chris Chiozza,79568,2019-20
Raymond Spalding,79568,2019-20
Kobi Simmons,79568,2019-20
Max Strus,79568,2019-20
Adam Mokoka,79568,2019-20
Matt Mooney,79568,2019-20
Josh Reaves,79568,2019-20
Antonius Cleveland,79568,2019-20
Tyler Cook,79568,2019-20
Bol Bol,79568,2019-20
Jordan Bone,79568,2019-20
Louis King,79568,2019-20
Michael Frazier,79568,2019-20
William Howard,79568,2019-20
Naz Long,79568,2019-20
Brian Bowen,79568,2019-20
Johnathan Motley,79568,2019-20
Amir Coffey,79568,2019-20
Devontae Cacok,79568,2019-20
Kostas Antetokounmpo,79568,2019-20
John Konchar,79568,2019-20
Yuta Watanabe,79568,2019-20
Kyle Alexander,79568,2019-20
Gabe Vincent,79568,2019-20
Cam Reynolds,79568,2019-20
Frank Mason,79568,2019-20
Kelan Martin,79568,2019-20
Jordan McLaughlin,79568,2019-20
Zylan Cheatham,79568,2019-20
Josh Gray,79568,2019-20
Kenny Wooten,79568,2019-20
Jared Harper,79568,2019-20
Kevin Hervey,79568,2019-20
Vic Law,79568,2019-20
BJ Johnson,79568,2019-20
Marial Shayok,79568,2019-20
Tariq Owens,79568,2019-20
Moses Brown,79568,2019-20
Jaylen Hoard,79568,2019-20
Kyle Guy,79568,2019-20
Drew Eubanks,79568,2019-20
Quinndary Weatherspoon,79568,2019-20
Paul Watson,79568,2019-20
Jarrell Brantley,79568,2019-20
Justin Wright-Foreman,79568,2019-20
Garrison Mathews,79568,2019-20
Malik Newman,65978,2019-20
Stephen Curry,37457154,2018-19
Russell Westbrook,35665000,2018-19
Chris Paul,35654150,2018-19
LeBron James,35654150,2018-19
Kyle Lowry,32700000,2018-19
Blake Griffin,31873932,2018-19
Gordon Hayward,31214295,2018-19
James Harden,30570000,2018-19
Paul George,30560700,2018-19
Mike Conley,30521115,2018-19
Kevin Durant,30000000,2018-19
Paul Millsap,29230769,2018-19
Al Horford,28928710,2018-19
Damian Lillard,27977689,2018-19
DeMar DeRozan,27739975,2018-19
Chris Bosh,26837720,2018-19
Jrue Holiday,26641111,2018-19
Otto Porter,26011913,2018-19
CJ McCollum,25759766,2018-19
Nikola Jokic,25467250,2018-19
Andrew Wiggins,25467250,2018-19
Joel Embiid,25467250,2018-19
Anthony Davis,25434263,2018-19
Andre Drummond,25434262,2018-19
Bradley Beal,25434262,2018-19
Hassan Whiteside,24434262,2018-19
Dwight Howard,24256725,2018-19
Giannis Antetokounmpo,24157304,2018-19
Steven Adams,24157304,2018-19
Kevin Love,24119025,2018-19
Marc Gasol,24119025,2018-19
Chandler Parsons,24107258,2018-19
Harrison Barnes,24107258,2018-19
Nicolas Batum,24000000,2018-19
Rudy Gobert,23491573,2018-19
Kawhi Leonard,23114066,2018-19
DeAndre Jordan,22897200,2018-19
LaMarcus Aldridge,22347015,2018-19
Serge Ibaka,21666667,2018-19
Aaron Gordon,21590909,2018-19
Danilo Gallinari,21587579,2018-19
Victor Oladipo,21000000,2018-19
Ryan Anderson,20421546,2018-19
Joakim Noah,20261172,2018-19
Kyrie Irving,20099189,2018-19
Jabari Parker,20000000,2018-19
Jimmy Butler,19841627,2018-19
Zach LaVine,19500000,2018-19
Wesley Matthews,19360228,2018-19
Allen Crabbe,19332500,2018-19
Enes Kanter,19264603,2018-19
Tyler Johnson,19245370,2018-19
John Wall,19169800,2018-19
George Hill,19000000,2018-19
Jeff Teague,19000000,2018-19
Klay Thompson,18988725,2018-19
Goran Dragic,18109175,2018-19
Kent Bazemore,18089888,2018-19
Evan Turner,17868853,2018-19
Tristan Thompson,17469565,2018-19
Draymond Green,17469565,2018-19
Tim Hardaway Jr,17325000,2018-19
Pau Gasol,17133285,2018-19
Reggie Jackson,17043478,2018-19
Bismack Biyombo,17000000,2018-19
Evan Fournier,17000000,2018-19
Derrick Favors,16900000,2018-19
Luol Deng,16747954,2018-19
Jonas Valanciunas,16539326,2018-19
Gary Harris,16517857,2018-19
Andre Iguodala,16000000,2018-19
Timofey Mozgov,16000000,2018-19
Ian Mahinmi,16000000,2018-19
Clint Capela,15793104,2018-19
Dennis Schroeder,15500000,2018-19
DeMarre Carroll,15400000,2018-19
Gorgui Dieng,15170787,2018-19
Eric Bledsoe,15000000,2018-19
Trevor Ariza,15000000,2018-19
Tobias Harris,14800000,2018-19
Ricky Rubio,14800000,2018-19
JR Smith,14720000,2018-19
Brandon Knight,14631250,2018-19
James Johnson,14420700,2018-19
Robin Lopez,14357750,2018-19
Kenneth Faried,14242782,2018-19
Marvin Williams,14087500,2018-19
Taj Gibson,14000000,2018-19
Thaddeus Young,13764045,2018-19
Tyson Chandler,13585000,2018-19
Marcin Gortat,13565218,2018-19
Kelly Olynyk,13537527,2018-19
Cody Zeller,13528090,2018-19
Eric Gordon,13500375,2018-19
Austin Rivers,13155324,2018-19
Michael Kidd-Gilchrist,13000000,2018-19
Khris Middleton,13000000,2018-19
Mason Plumlee,12917808,2018-19
Wilson Chandler,12800562,2018-19
Solomon Hill,12763467,2018-19
Nikola Vucevic,12750000,2018-19
Dion Waiters,12705000,2018-19
Joe Ingles,12545455,2018-19
Jeremy Lin,12516746,2018-19
Jordan Clarkson,12500000,2018-19
Nikola Mirotic,12500000,2018-19
Miles Plumlee,12400000,2018-19
Tyreke Evans,12400000,2018-19
Courtney Lee,12253780,2018-19
JJ Redick,12250000,2018-19
Kemba Walker,12000000,2018-19
Kentavious Caldwell-Pope,12000000,2018-19
Avery Bradley,12000000,2018-19
Will Barton,11830358,2018-19
TJ Warren,11750000,2018-19
Zach Randolph,11692308,2018-19
Patrick Mills,11571429,2018-19
Alec Burks,11536515,2018-19
Omer Asik,11286516,2018-19
Marcus Smart,11160716,2018-19
Jusuf Nurkic,11111111,2018-19
Iman Shumpert,11011234,2018-19
Moe Harkless,10837079,2018-19
Tony Snell,10607143,2018-19
Dante Exum,10600000,2018-19
Meyers Leonard,10595506,2018-19
John Henson,10577466,2018-19
Bojan Bogdanovic,10500000,2018-19
Mirza Teletovic,10500000,2018-19
Terrence Ross,10500000,2018-19
Robert Covington,10464092,2018-19
Rudy Gay,10087200,2018-19
Jon Leuer,10002681,2018-19
Darren Collison,10000000,2018-19
Andre Roberson,10000000,2018-19
Danny Green,10000000,2018-19
Dwight Powell,9631250,2018-19
Matthew Dellavedova,9607500,2018-19
Jared Dudley,9530000,2018-19
Boban Marjanovic,9490740,2018-19
Josh Richardson,9367200,2018-19
Norman Powell,9367200,2018-19
Markieff Morris,9173294,2018-19
Rajon Rondo,9000000,2018-19
Bogdan Bogdanovic,9000000,2018-19
E'Twaun Moore,8808685,2018-19
Kosta Koufos,8739500,2018-19
Fred VanVleet,8653847,2018-19
Wayne Ellington,8653076,2018-19
Kyle Anderson,8641000,2018-19
Julius Randle,8641000,2018-19
Jerryd Bayless,8575916,2018-19
Cristiano Felicio,8470980,2018-19
Markelle Fultz,8339880,2018-19
Joe Harris,8333333,2018-19
CJ Miles,8333333,2018-19
Jerami Grant,8333333,2018-19
Shaun Livingston,8307692,2018-19
Deandre Ayton,8175840,2018-19
JaMychal Green,8066667,2018-19
Louis Williams,8000000,2018-19
Garrett Temple,8000000,2018-19
PJ Tucker,7959537,2018-19
Cory Joseph,7945000,2018-19
Karl-Anthony Towns,7839435,2018-19
Kyle Korver,7560000,2018-19
Darrell Arthur,7464912,2018-19
Lonzo Ball,7461960,2018-19
Doug McDermott,7333334,2018-19
Marvin Bagley,7314960,2018-19
Jae Crowder,7305825,2018-19
DJ Augustin,7250000,2018-19
Lance Thomas,7119650,2018-19
D'Angelo Russell,7019698,2018-19
Jeremy Lamb,7000000,2018-19
Langston Galloway,7000000,2018-19
Ersan Ilyasova,7000000,2018-19
Davis Bertans,7000000,2018-19
Al-Farouq Aminu,6957105,2018-19
Jayson Tatum,6700800,2018-19
Luka Doncic,6569040,2018-19
Mario Hezonja,6500000,2018-19
Nemanja Bjelica,6500000,2018-19
Ben Simmons,6434520,2018-19
Dewayne Dedmon,6300000,2018-19
Milos Teodosic,6300000,2018-19
Marco Belinelli,6153846,2018-19
Wesley Johnson,6134000,2018-19
Josh Jackson,6041520,2018-19
Ishmael Smith,6000000,2018-19
Montrezl Harrell,6000000,2018-19
Jonathon Simmons,6000000,2018-19
Jaren Jackson Jr,5922720,2018-19
Brandon Ingram,5757120,2018-19
Anthony Tolliver,5750000,2018-19
Kristaps Porzingis,5697054,2018-19
Deron Williams,5474787,2018-19
De'Aaron Fox,5470920,2018-19
Ben McLemore,5460000,2018-19
Patrick Patterson,5451600,2018-19
Jason Smith,5450000,2018-19
Marcus Morris,5375000,2018-19
Trae Young,5363280,2018-19
DeMarcus Cousins,5337000,2018-19
Josh Smith,5331729,2018-19
Alexis Ajinca,5285394,2018-19
Thabo Sefolosha,5250000,2018-19
Aron Baynes,5193600,2018-19
Jaylen Brown,5169960,2018-19
Patrick Beverley,5027028,2018-19
Tony Parker,5000000,2018-19
Dirk Nowitzki,5000000,2018-19
Mike Muscala,5000000,2018-19
Jonathan Isaac,4969080,2018-19
Mo Bamba,4871280,2018-19
Jamal Crawford,4698113,2018-19
Ron Baker,4697823,2018-19
Willie Cauley-Stein,4696874,2018-19
Dragan Bender,4661280,2018-19
Lauri Markkanen,4536120,2018-19
Justin Holiday,4500000,2018-19
Ed Davis,4449000,2018-19
Kyle O'Quinn,4449000,2018-19
Lance Stephenson,4449000,2018-19
Wendell Carter,4446840,2018-19
Alex Len,4350000,2018-19
Luc Mbah a Moute,4320500,2018-19
Mike Scott,4320500,2018-19
Emmanuel Mudiay,4294479,2018-19
Kris Dunn,4221000,2018-19
Frank Ntilikina,4155720,2018-19
Glenn Robinson III,4075000,2018-19
Collin Sexton,4073760,2018-19
Al Jefferson,4000000,2018-19
Stanley Johnson,3940401,2018-19
Buddy Hield,3833760,2018-19
Dennis Smith,3819960,2018-19
Jodie Meeks,3774176,2018-19
Kevin Knox,3744840,2018-19
Jose Juan Barea,3710850,2018-19
Alex Abrines,3667645,2018-19
Nenê,3651480,2018-19
Zach Collins,3628920,2018-19
Frank Kaminsky,3627842,2018-19
Mikal Bridges,3557400,2018-19
Michael Beasley,3500000,2018-19
Jamal Murray,3499800,2018-19
Rodney Hood,3472887,2018-19
Justise Winslow,3448926,2018-19
Malik Monk,3447480,2018-19
Cameron Payne,3440356,2018-19
Brook Lopez,3382000,2018-19
Allonzo Trier,3382000,2018-19
Shai Gilgeous-Alexander,3375360,2018-19
Trey Lyles,3364249,2018-19
Ekpe Udoh,3360000,2018-19
Devin Booker,3314365,2018-19
Myles Turner,3294994,2018-19
Luke Kennard,3275280,2018-19
Troy Daniels,3258539,2018-19
Kelly Oubre,3208630,2018-19
Miles Bridges,3206640,2018-19
Marquese Chriss,3206160,2018-19
Tomas Satoransky,3129187,2018-19
Bryn Forbes,3125000,2018-19
Donovan Mitchell,3111480,2018-19
Terry Rozier,3050389,2018-19
Jerome Robinson,3050160,2018-19
Elfrid Payton,3000000,2018-19
Yogi Ferrell,3000000,2018-19
Bam Adebayo,2955840,2018-19
Jakob Poeltl,2947320,2018-19
Michael Porter,2894160,2018-19
Andrew Nicholson,2844429,2018-19
Justin Jackson,2807880,2018-19
Thon Maker,2799720,2018-19
Seth Curry,2795000,2018-19
Cedi Osman,2775000,2018-19
Sam Dekker,2760094,2018-19
Troy Brown,2752680,2018-19
Guerschon Yabusele,2667600,2018-19
Justin Patton,2667600,2018-19
Domantas Sabonis,2659800,2018-19
Jerian Grant,2639313,2018-19
Zhaire Smith,2615160,2018-19
Corey Brewer,2559925,2018-19
Delon Wright,2536898,2018-19
DJ Wilson,2534280,2018-19
Taurean Prince,2526840,2018-19
Dario Saric,2526840,2018-19
Justin Anderson,2516047,2018-19
Shelvin Mack,2512601,2018-19
Reggie Bullock,2500000,2018-19
Manu Ginobili,2500000,2018-19
Bobby Portis,2494346,2018-19
Dante Cunningham,2487000,2018-19
Donte DiVincenzo,2484360,2018-19
Rondae Hollis-Jefferson,2470356,2018-19
Tyus Jones,2444052,2018-19
Jarell Martin,2416221,2018-19
Greg Monroe,2410167,2018-19
TJ Leaf,2407560,2018-19
Georgios Papagiannis,2400480,2018-19
Vince Carter,2393887,2018-19
Carmelo Anthony,2393887,2018-19
Channing Frye,2393887,2018-19
Devin Harris,2393887,2018-19
Jose Calderon,2393887,2018-19
Zaza Pachulia,2393887,2018-19
JaVale McGee,2393887,2018-19
Udonis Haslem,2393887,2018-19
Dwyane Wade,2393887,2018-19
Raymond Felton,2393887,2018-19
Amir Johnson,2393887,2018-19
Jeff Green,2393887,2018-19
Lonnie Walker,2360160,2018-19
John Collins,2299080,2018-19
Denzel Valentine,2280600,2018-19
Larry Nance Jr,2272390,2018-19
Kevin Huerter,2250960,2018-19
Monta Ellis,2245400,2018-19
Harry Giles,2207040,2018-19
Darius Miller,2205000,2018-19
Henry Ellenson,2199311,2018-19
Omri Casspi,2176260,2018-19
Derrick Rose,2176260,2018-19
Juan Hernangomez,2166360,2018-19
Jonas Jerebko,2165481,2018-19
Quincy Pondexter,2165481,2018-19
Josh Okogie,2163600,2018-19
Nik Stauskas,2161886,2018-19
Terrance Ferguson,2118840,2018-19
Raul Neto,2100000,2018-19
Salah Mejri,2098196,2018-19
Grayson Allen,2076960,2018-19
Jarrett Allen,2034120,2018-19
Isaiah Thomas,2029463,2018-19
Spencer Hawes,2007058,2018-19
Torrey Craig,2000000,2018-19
Cole Aldrich,2000000,2018-19
Chandler Hutchison,1991520,2018-19
Ante Zizic,1952760,2018-19
OG Anunoby,1952760,2018-19
Shabazz Napier,1942422,2018-19
Aaron Holiday,1914480,2018-19
Timothe Luwawu,1880268,2018-19
Tyler Lydon,1874640,2018-19
Anfernee Simons,1837800,2018-19
Tim Frazier,1832107,2018-19
Trey Burke,1795015,2018-19
Malik Beasley,1773840,2018-19
Moritz Wagner,1764240,2018-19
Ian Clark,1757429,2018-19
Nerlens Noel,1757429,2018-19
Deyonta Davis,1741503,2018-19
Furkan Korkmaz,1740000,2018-19
Caleb Swanigan,1740000,2018-19
Landry Shamet,1705920,2018-19
Caris LeVert,1702800,2018-19
Rodions Kurucs,1690000,2018-19
Jonah Bolden,1690000,2018-19
Kyle Kuzma,1689840,2018-19
Tony Bradley,1679520,2018-19
Derrick White,1667160,2018-19
Kyle Singler,1665333,2018-19
Robert Williams,1656600,2018-19
Spencer Dinwiddie,1656092,2018-19
MarShon Brooks,1656092,2018-19
Josh Hart,1655160,2018-19
Jacob Evans,1646400,2018-19
Pat Connaughton,1641000,2018-19
DeAndre Bembry,1634640,2018-19
Dzanan Musa,1634400,2018-19
Omari Spellman,1622520,2018-19
Noah Vonleh,1621415,2018-19
James Ennis,1621415,2018-19
Luke Kornet,1619260,2018-19
TJ McConnell,1600520,2018-19
Richaun Holmes,1600520,2018-19
